icache1_miss_rate,0.0612
icache2_miss_rate,0.01538
dcache_ld_miss_rate,0.0007475
dcache_st_miss_rate,0.0002743
dcache_wb_ratio,0.0002832
dcachev_direct_ld_miss_rate,0.0075
dcachev_direct_st_miss_rate,0.0358
dcachev_2way_ld_miss_rate,0.0221
dcachev_2way_st_miss_rate,0.0406
dcachev_4way_ld_miss_rate,0.0019
dcachev_4way_st_miss_rate,0.000504
prefetch_cache_miss_rate,value
prefetch_success_rate,value
