icache1_miss_rate,0.0192
icache2_miss_rate,0.0113
dcache_ld_miss_rate,0.0034
dcache_st_miss_rate,0.0007
dcache_wb_ratio,0.0010
dcachev_direct_ld_miss_rate,0.0038
dcachev_direct_st_miss_rate,0.0054
dcachev_2way_ld_miss_rate,0.0207
dcachev_2way_st_miss_rate,0.0080
dcachev_4way_ld_miss_rate,0.0126
dcachev_4way_st_miss_rate,0.0064
prefetch_cache_miss_rate,value
prefetch_success_rate,value
