icache1_miss_rate,0.0297
icache2_miss_rate,0.0242
dcache_ld_miss_rate,0.0056
dcache_st_miss_rate,0.0009
dcache_wb_ratio,0.0025
dcachev_direct_ld_miss_rate,0.0065
dcachev_direct_st_miss_rate,0.0063
dcachev_2way_ld_miss_rate,0.0309
dcachev_2way_st_miss_rate,0.0077
dcachev_4way_ld_miss_rate,0.0220
dcachev_4way_st_miss_rate,0.0103
prefetch_cache_miss_rate,value
prefetch_success_rate,value
